OBJECTID;TIPOLOGIA;DENOMINAZIONE;INDIRIZZO;MUNICIPIO;ID_NIL;NIL;x;y;Location
1;CENTRI BALNEARI;ARGELATI;VIA SEGANTINI, 6;6;44;NAVIGLI;9.172905473456417;45.44920225568512;(45.44920225568512, 9.172905473456417)
2;CENTRI BALNEARI;LIDO;P.LE LOTTO, 15;8;66;QT 8;9.140520541812293;45.482144839100904;(45.482144839100904, 9.140520541812293)
3;CENTRI BALNEARI;ROMANO;VIA AMPÈRE, 20;3;22;CITTA' STUDI;9.22664968534029;45.480763727880515;(45.480763727880515, 9.22664968534029)
4;CENTRI BALNEARI;SCARIONI;VIA VALFURVA, 9;9;14;NIGUARDA - CA' GRANDA;9.195636972513489;45.50959029756213;(45.50959029756213, 9.195636972513489)
5;VASCHE SCOPERTE  50 mt;CARDELLINO;VIA DEL CARDELLINO, 3;6;53;LORENTEGGIO;9.122644860870686;45.44856295792585;(45.44856295792585, 9.122644860870686)
6;VASCHE SCOPERTE  50 mt;SAINI;VIA CORELLI, 136;3;24;PARCO FORLANINI - ORTICA;9.2641941222598;45.46998769541026;(45.46998769541026, 9.2641941222598)
7;VASCHE SCOPERTE  50 mt;SANT'ABBONDIO;VIA SANT'ABBONDIO, 12;5;42;STADERA;9.17246344304783;45.42468736922437;(45.42468736922437, 9.17246344304783)
8;CENTRI SPORTIVI;ISEO;VIA ISEO, 10;9;80;AFFORI;9.173132863105966;45.52084078851981;(45.52084078851981, 9.173132863105966)
9;CENTRI SPORTIVI;LIDO;P.LE LOTTO, 15;8;66;QT 8;9.14194021323616;45.48056392505983;(45.48056392505983, 9.14194021323616)
10;CENTRI SPORTIVI;MURAT;VIA DINO VILLANI, 2;9;12;MACIACHINI - MAGGIOLINA;9.189889126422559;45.4993909640626;(45.4993909640626, 9.189889126422559)
12;CENTRI SPORTIVI;PROCIDA;VIA G. DA PROCIDA, 20;8;67;PORTELLO;9.160049289963275;45.481529722302;(45.481529722302, 9.160049289963275)
14;CENTRI SPORTIVI;SAINI;VIA CORELLI, 136;4;24;PARCO FORLANINI - ORTICA;9.262254655069814;45.4698076796971;(45.4698076796971, 9.262254655069814)
16;CENTRI SPORTIVI;WASHINGTON;VIA CABOTO, 6;7;51;WASHINGTON;9.155474042660492;45.46187690705769;(45.46187690705769, 9.155474042660492)
17;PISCINE COPERTE;ARIOLI VENEGONI;VIA A. VENEGONI, 9;7;56;FORZE ARMATE;9.110949530693373;45.46810969307795;(45.46810969307795, 9.110949530693373)
19;PISCINE COPERTE;BACONE;VIA PICCINNI, 8;3;21;BUENOS AIRES - VENEZIA;9.215407949584204;45.48233592380832;(45.48233592380832, 9.215407949584204)
21;PISCINE COPERTE;CARDELLINO (25mt);VIA DEL CARDELLINO, 3;6;53;LORENTEGGIO;9.123348392655135;45.448366199581336;(45.448366199581336, 9.123348392655135)
23;PISCINE COPERTE;CARELLA CANTÙ';VIA A. GRAF, 8;8;76;QUARTO OGGIARO;9.140141991751559;45.51257994608162;(45.51257994608162, 9.140141991751559)
24;PISCINE COPERTE;COZZI;V.LE TUNISIA, 35;2;10;CENTRALE;9.201282283101255;45.47903984915486;(45.47903984915486, 9.201282283101255)
25;PISCINE COPERTE;DE MARCHI;VIA E. DE MARCHI, 17;2;13;GRECO;9.208329876423937;45.498828115269625;(45.498828115269625, 9.208329876423937)
26;PISCINE COPERTE;ISEO;VIA ISEO, 10;9;80;AFFORI;9.173575541199893;45.521088501407846;(45.521088501407846, 9.173575541199893)
27;PISCINE COPERTE;MINCIO;VIA MINCIO, 13;4;35;LODI - CORVETTO;9.216115611822309;45.44006129828484;(45.44006129828484, 9.216115611822309)
28;PISCINE COPERTE;MURAT;VIA DINO VILLANI, 2;9;12;MACIACHINI - MAGGIOLINA;9.189870111782929;45.4997074910371;(45.4997074910371, 9.189870111782929)
29;PISCINE COPERTE;PROCIDA;VIA G. DA PROCIDA, 20;8;67;PORTELLO;9.160504799592712;45.48165747216017;(45.48165747216017, 9.160504799592712)
30;PISCINE COPERTE;QUARTO CAGNINO;VIA LAMENNAIS, 20;7;61;QUARTO CAGNINO;9.113112154671285;45.47371259848356;(45.47371259848356, 9.113112154671285)
31;PISCINE COPERTE;S.ABBONDIO (25mt);VIA SANT'ABBONDIO, 12;5;42;STADERA;9.173163700473026;45.425120077394155;(45.425120077394155, 9.173163700473026)
32;PISCINE COPERTE;SAINI (25mt);VIA CORELLI, 136;3;24;PARCO FORLANINI - ORTICA;9.263405025046254;45.469967693762726;(45.469967693762726, 9.263405025046254)
33;PISCINE COPERTE;SOLARI;VIA MONTEVIDEO, 20;6;50;TORTONA;9.16523007003952;45.45840493691636;(45.45840493691636, 9.16523007003952)
34;PISCINE COPERTE;SUZZANI;VIA BECCALI, 7;9;14;NIGUARDA - CA' GRANDA;9.206135914717315;45.51966708245277;(45.51966708245277, 9.206135914717315)
